Fund Holdings as of,"27/jan/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ALL","ALLSTATE CORP","Financiële waarden","Aandelen","28.631.044,00","0,06","28.631.044,00","238.096,00","120,25","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Aandelen","28.575.911,04","0,06","28.575.911,04","402.251,00","71,04","Verenigde Staten","NASDAQ","USD"
"DXCM","DEXCOM INC","Gezondheidszorg","Aandelen","28.559.200,32","0,06","28.559.200,32","74.466,00","383,52","Verenigde Staten","NASDAQ","USD"
"INVE B","INVESTOR CLASS B","Financiële waarden","Aandelen","28.396.538,83","0,06","28.396.538,83","1.340.442,00","21,18","Zweden","Nasdaq Omx Nordic","SEK"
"8001","ITOCHU CORP","Industrie","Aandelen","28.093.871,18","0,06","28.093.871,18","906.202,00","31,00","Japan","Tokyo Stock Exchange","JPY"
"APTV","APTIV PLC","Luxe-consumentengoederen","Aandelen","27.980.443,57","0,06","27.980.443,57","211.957,00","132,01","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ROST","ROSS STORES INC","Luxe-consumentengoederen","Aandelen","27.974.886,12","0,06","27.974.886,12","294.876,00","94,87","Verenigde Staten","NASDAQ","USD"
"9434","SOFTBANK CORP","Communicatie","Aandelen","27.956.256,23","0,06","27.956.256,23","2.247.500,00","12,44","Japan","Tokyo Stock Exchange","JPY"
"CTVA","CORTEVA INC","Materialen","Aandelen","27.954.908,28","0,06","27.954.908,28","596.817,00","46,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"XEL","XCEL ENERGY INC","Nutsbedrijven","Aandelen","27.946.621,44","0,06","27.946.621,44","405.376,00","68,94","Verenigde Staten","NASDAQ","USD"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communicatie","Aandelen","27.938.452,08","0,06","27.938.452,08","1.011.400,00","27,62","Japan","Tokyo Stock Exchange","JPY"
"EXPN","EXPERIAN PLC","Industrie","Aandelen","27.731.517,73","0,06","27.731.517,73","690.481,00","40,16","Verenigd Koninkrijk","London Stock Exchange","GBP"
"VLO","VALERO ENERGY CORP","Energie","Aandelen","27.680.956,90","0,06","27.680.956,90","337.655,00","81,98","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WMB","WILLIAMS INC","Energie","Aandelen","27.536.460,27","0,06","27.536.460,27","937.571,00","29,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RMD","RESMED INC","Gezondheidszorg","Aandelen","27.517.990,18","0,06","27.517.990,18","122.362,00","224,89","Verenigde Staten","New York Stock Exchange Inc.","USD"
"8766","TOKIO MARINE HOLDINGS INC","Financiële waarden","Aandelen","27.514.645,28","0,06","27.514.645,28","467.672,00","58,83","Japan","Tokyo Stock Exchange","JPY"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aandelen","27.493.831,92","0,06","27.493.831,92","95.804,00","286,98","Verenigde Staten","New York Stock Exchange Inc.","USD"
"YUM","YUM BRANDS INC","Luxe-consumentengoederen","Aandelen","27.455.195,34","0,06","27.455.195,34","229.137,00","119,82","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ERIC B","ERICSSON B","IT","Aandelen","27.417.043,67","0,06","27.417.043,67","2.252.994,00","12,17","Zweden","Nasdaq Omx Nordic","SEK"
"OTIS","OTIS WORLDWIDE CORP","Industrie","Aandelen","27.369.271,27","0,06","27.369.271,27","331.307,00","82,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"STT","STATE STREET CORP","Financiële waarden","Aandelen","27.358.283,52","0,06","27.358.283,52","293.796,00","93,12","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FERG","FERGUSON PLC","Industrie","Aandelen","27.344.450,85","0,06","27.344.450,85","177.167,00","154,34","Verenigd Koninkrijk","London Stock Exchange","GBP"
"ALGN","ALIGN TECHNOLOGY INC","Gezondheidszorg","Aandelen","27.207.348,30","0,06","27.207.348,30","59.715,00","455,62","Verenigde Staten","NASDAQ","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Nutsbedrijven","Aandelen","27.087.699,00","0,06","27.087.699,00","414.185,00","65,40","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CTAS","CINTAS CORP","Industrie","Aandelen","26.962.786,76","0,06","26.962.786,76","71.383,00","377,72","Verenigde Staten","NASDAQ","USD"
"BMW","BMW AG","Luxe-consumentengoederen","Aandelen","26.921.178,13","0,06","26.921.178,13","256.880,00","104,80","Duitsland","Xetra","EUR"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Vastgoed","Aandelen","26.889.033,78","0,06","26.889.033,78","87.821,00","306,18","Verenigde Staten","NASDAQ","USD"
"WELL","WELLTOWER INC","Vastgoed","Aandelen","26.863.492,34","0,06","26.863.492,34","322.027,00","83,42","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SREN","SWISS RE AG","Financiële waarden","Aandelen","26.821.411,78","0,06","26.821.411,78","246.136,00","108,97","Zwitserland","SIX Swiss Exchange","CHF"
"3382","SEVEN & I HOLDINGS LTD","Basis-consumentengoederen","Aandelen","26.823.455,26","0,06","26.823.455,26","582.512,00","46,05","Japan","Tokyo Stock Exchange","JPY"
"AMP","AMERIPRISE FINANCE INC","Financiële waarden","Aandelen","26.761.710,36","0,06","26.761.710,36","88.116,00","303,71","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrie","Aandelen","26.723.332,64","0,06","26.723.332,64","119.258,00","224,08","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WCN","WASTE CONNECTIONS INC","Industrie","Aandelen","26.718.445,27","0,06","26.718.445,27","219.923,00","121,49","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MTD","METTLER TOLEDO INC","Gezondheidszorg","Aandelen","26.638.680,20","0,06","26.638.680,20","19.076,00","1.396,45","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ABX","BARRICK GOLD CORP","Materialen","Aandelen","26.615.001,74","0,06","26.615.001,74","1.419.262,00","18,75","Canada","Toronto Stock Exchange","CAD"
"ATD","ALIMENTATION COUCHE TARD MULTI VOT","Basis-consumentengoederen","Aandelen","26.580.559,51","0,06","26.580.559,51","690.600,00","38,49","Canada","Toronto Stock Exchange","CAD"
"KMI","KINDER MORGAN INC","Energie","Aandelen","26.476.938,52","0,06","26.476.938,52","1.514.699,00","17,48","Verenigde Staten","New York Stock Exchange Inc.","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energie","Aandelen","26.426.133,36","0,06","26.426.133,36","709.236,00","37,26","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","IT","Aandelen","26.330.569,20","0,06","26.330.569,20","235.937,00","111,60","Verenigde Staten","NASDAQ","USD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Basis-consumentengoederen","Aandelen","26.211.321,77","0,06","26.211.321,77","821.885,00","31,89","Nederland","Euronext Amsterdam","EUR"
"CAP","CAPGEMINI","IT","Aandelen","26.195.822,18","0,06","26.195.822,18","121.239,00","216,07","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"UCG","UNICREDIT","Financiële waarden","Aandelen","26.161.061,81","0,06","26.161.061,81","1.703.815,00","15,35","Italië","Borsa Italiana","EUR"
"DFS","DISCOVER FINANCIAL SERVICES","Financiële waarden","Aandelen","26.097.096,78","0,06","26.097.096,78","230.499,00","113,22","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NOKIA","NOKIA","IT","Aandelen","26.006.654,69","0,06","26.006.654,69","4.572.020,00","5,69","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"VOLV B","VOLVO CLASS B","Industrie","Aandelen","26.006.227,06","0,06","26.006.227,06","1.135.581,00","22,90","Zweden","Nasdaq Omx Nordic","SEK"
"DB1","DEUTSCHE BOERSE AG","Financiële waarden","Aandelen","25.820.741,28","0,06","25.820.741,28","148.412,00","173,98","Duitsland","Xetra","EUR"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materialen","Aandelen","25.748.299,12","0,06","25.748.299,12","195.122,00","131,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TSCO","TESCO PLC","Basis-consumentengoederen","Aandelen","25.707.533,63","0,06","25.707.533,63","6.398.729,00","4,02","Verenigd Koninkrijk","London Stock Exchange","GBP"
"8411","MIZUHO FINANCIAL GROUP INC","Financiële waarden","Aandelen","25.673.067,90","0,06","25.673.067,90","1.917.094,00","13,39","Japan","Tokyo Stock Exchange","JPY"
"GLW","CORNING INC","IT","Aandelen","25.624.023,36","0,06","25.624.023,36","631.756,00","40,56","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SLF","SUN LIFE FINANCIAL INC","Financiële waarden","Aandelen","25.573.092,06","0,06","25.573.092,06","461.802,00","55,38","Canada","Toronto Stock Exchange","CAD"
"CSU","CONSTELLATION SOFTWARE INC","IT","Aandelen","25.571.606,45","0,06","25.571.606,45","16.026,00","1.595,63","Canada","Toronto Stock Exchange","CAD"
"DSM","KONINKILIJKE DSM NV","Materialen","Aandelen","25.559.010,03","0,06","25.559.010,03","138.939,00","183,96","Nederland","Euronext Amsterdam","EUR"
"AVB","AVALONBAY COMMUNITIES REIT INC","Vastgoed","Aandelen","25.525.930,89","0,06","25.525.930,89","107.609,00","237,21","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KKR","KKR AND CO INC","Financiële waarden","Aandelen","25.509.198,00","0,06","25.509.198,00","386.503,00","66,00","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TROW","T ROWE PRICE GROUP INC","Financiële waarden","Aandelen","25.414.110,45","0,06","25.414.110,45","169.597,00","149,85","Verenigde Staten","NASDAQ","USD"
"PCAR","PACCAR INC","Industrie","Aandelen","25.378.399,24","0,06","25.378.399,24","272.242,00","93,22","Verenigde Staten","NASDAQ","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aandelen","25.336.597,02","0,06","25.336.597,02","158.542,00","159,81","Verenigde Staten","NASDAQ","USD"
"MNST","MONSTER BEVERAGE CORP","Basis-consumentengoederen","Aandelen","25.244.091,08","0,06","25.244.091,08","303.524,00","83,17","Verenigde Staten","NASDAQ","USD"
"BIIB","BIOGEN INC","Gezondheidszorg","Aandelen","25.184.887,14","0,06","25.184.887,14","115.031,00","218,94","Verenigde Staten","NASDAQ","USD"
"EQR","EQUITY RESIDENTIAL REIT","Vastgoed","Aandelen","25.186.995,36","0,06","25.186.995,36","290.608,00","86,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6902","DENSO CORP","Luxe-consumentengoederen","Aandelen","25.181.351,15","0,06","25.181.351,15","355.343,00","70,86","Japan","Tokyo Stock Exchange","JPY"
"DVN","DEVON ENERGY CORP","Energie","Aandelen","24.959.841,66","0,06","24.959.841,66","482.409,00","51,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"9983","FAST RETAILING LTD","Luxe-consumentengoederen","Aandelen","24.954.127,07","0,06","24.954.127,07","43.755,00","570,31","Japan","Tokyo Stock Exchange","JPY"
"FITB","FIFTH THIRD BANCORP","Financiële waarden","Aandelen","24.859.958,03","0,06","24.859.958,03","562.061,00","44,23","Verenigde Staten","NASDAQ","USD"
"4661","ORIENTAL LAND LTD","Luxe-consumentengoederen","Aandelen","24.741.236,09","0,06","24.741.236,09","155.400,00","159,21","Japan","Tokyo Stock Exchange","JPY"
"ABNB","AIRBNB INC CLASS A","Luxe-consumentengoederen","Aandelen","24.585.768,30","0,05","24.585.768,30","177.630,00","138,41","Verenigde Staten","NASDAQ","USD"
"FAST","FASTENAL","Industrie","Aandelen","24.504.020,47","0,05","24.504.020,47","446.909,00","54,83","Verenigde Staten","NASDAQ","USD"
"AHT","ASHTEAD GROUP PLC","Industrie","Aandelen","24.472.220,68","0,05","24.472.220,68","349.804,00","69,96","Verenigd Koninkrijk","London Stock Exchange","GBP"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Luxe-consumentengoederen","Aandelen","24.466.274,03","0,05","24.466.274,03","802.957,00","30,47","Spanje","Bolsa De Madrid","EUR"
"STM","STMICROELECTRONICS NV","IT","Aandelen","24.366.702,83","0,05","24.366.702,83","538.711,00","45,23","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aandelen","24.278.427,33","0,05","24.278.427,33","374.228,00","64,88","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"HOLN","HOLCIM LTD AG","Materialen","Aandelen","24.251.670,17","0,05","24.251.670,17","453.781,00","53,44","Zwitserland","SIX Swiss Exchange","CHF"
"WEC","WEC ENERGY GROUP INC","Nutsbedrijven","Aandelen","24.219.761,50","0,05","24.219.761,50","254.650,00","95,11","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EOAN","E.ON N","Nutsbedrijven","Aandelen","24.193.124,08","0,05","24.193.124,08","1.758.779,00","13,76","Duitsland","Xetra","EUR"
"DSY","DASSAULT SYSTEMES","IT","Aandelen","24.177.221,46","0,05","24.177.221,46","528.143,00","45,78","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"AMS","AMADEUS IT GROUP SA","IT","Aandelen","24.153.710,24","0,05","24.153.710,24","359.278,00","67,23","Spanje","Bolsa De Madrid","EUR"
"CBRE","CBRE GROUP INC CLASS A","Vastgoed","Aandelen","24.110.489,70","0,05","24.110.489,70","252.810,00","95,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"O39","OVERSEA-CHINESE BANKING LTD","Financiële waarden","Aandelen","24.060.437,12","0,05","24.060.437,12","2.629.351,00","9,15","Singapore","Singapore Exchange","SGD"
"AME","AMETEK INC","Industrie","Aandelen","23.952.079,50","0,05","23.952.079,50","180.825,00","132,46","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SIVB","SVB FINANCIAL GROUP","Financiële waarden","Aandelen","23.875.675,34","0,05","23.875.675,34","43.991,00","542,74","Verenigde Staten","NASDAQ","USD"
"PGHN","PARTNERS GROUP HOLDING AG","Financiële waarden","Aandelen","23.809.369,80","0,05","23.809.369,80","17.921,00","1.328,57","Zwitserland","SIX Swiss Exchange","CHF"
"DHI","D R HORTON INC","Luxe-consumentengoederen","Aandelen","23.685.153,98","0,05","23.685.153,98","281.899,00","84,02","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KR","KROGER","Basis-consumentengoederen","Aandelen","23.641.777,60","0,05","23.641.777,60","520.744,00","45,40","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aandelen","23.613.908,32","0,05","23.613.908,32","146.561,00","161,12","Verenigde Staten","New York Stock Exchange Inc.","USD"
"4503","ASTELLAS PHARMA INC","Gezondheidszorg","Aandelen","23.553.002,73","0,05","23.553.002,73","1.466.600,00","16,06","Japan","Tokyo Stock Exchange","JPY"
"PHIA","KONINKLIJKE PHILIPS NV","Gezondheidszorg","Aandelen","23.543.249,89","0,05","23.543.249,89","728.044,00","32,34","Nederland","Euronext Amsterdam","EUR"
"WOW","WOOLWORTHS GROUP LTD","Basis-consumentengoederen","Aandelen","23.498.021,04","0,05","23.498.021,04","988.826,00","23,76","Australië","Asx - All Markets","AUD"
"SNAP","SNAP INC CLASS A","Communicatie","Aandelen","23.436.446,90","0,05","23.436.446,90","828.143,00","28,30","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAND","SANDVIK","Industrie","Aandelen","23.395.651,97","0,05","23.395.651,97","894.411,00","26,16","Zweden","Nasdaq Omx Nordic","SEK"
"WTW","WILLIS TOWERS WATSON PLC","Financiële waarden","Aandelen","23.352.850,74","0,05","23.352.850,74","104.726,00","222,99","Verenigde Staten","NASDAQ","USD"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financiële waarden","Aandelen","23.318.213,48","0,05","23.318.213,48","250.245,00","93,18","Verenigd Koninkrijk","London Stock Exchange","GBP"
"RIO","RIO TINTO LTD","Materialen","Aandelen","23.256.390,79","0,05","23.256.390,79","301.773,00","77,07","Australië","Asx - All Markets","AUD"
"BLL","BALL CORP","Materialen","Aandelen","23.172.388,59","0,05","23.172.388,59","246.541,00","93,99","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TWLO","TWILIO INC CLASS A","IT","Aandelen","22.887.004,00","0,05","22.887.004,00","129.488,00","176,75","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RACE","FERRARI NV","Luxe-consumentengoederen","Aandelen","22.660.531,14","0,05","22.660.531,14","101.423,00","223,43","Italië","Borsa Italiana","EUR"
"VRSK","VERISK ANALYTICS INC","Industrie","Aandelen","22.625.751,40","0,05","22.625.751,40","120.158,00","188,30","Verenigde Staten","NASDAQ","USD"
"VEEV","VEEVA SYSTEMS INC CLASS A","Gezondheidszorg","Aandelen","22.532.616,64","0,05","22.532.616,64","105.008,00","214,58","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MRK","MERCK","Gezondheidszorg","Aandelen","22.457.151,98","0,05","22.457.151,98","107.000,00","209,88","Duitsland","Xetra","EUR"
"TSN","TYSON FOODS INC CLASS A","Basis-consumentengoederen","Aandelen","22.452.878,42","0,05","22.452.878,42","249.421,00","90,02","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HSY","HERSHEY FOODS","Basis-consumentengoederen","Aandelen","22.370.432,04","0,05","22.370.432,04","115.092,00","194,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NUE","NUCOR CORP","Materialen","Aandelen","22.235.689,00","0,05","22.235.689,00","229.850,00","96,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RSG","REPUBLIC SERVICES INC","Industrie","Aandelen","22.170.192,15","0,05","22.170.192,15","179.385,00","123,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ES","EVERSOURCE ENERGY","Nutsbedrijven","Aandelen","22.142.869,44","0,05","22.142.869,44","258.256,00","85,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ML","MICHELIN","Luxe-consumentengoederen","Aandelen","22.106.323,60","0,05","22.106.323,60","133.298,00","165,84","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"LR","LEGRAND SA","Industrie","Aandelen","22.091.728,58","0,05","22.091.728,58","221.793,00","99,61","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"WY","WEYERHAEUSER REIT","Vastgoed","Aandelen","22.085.323,20","0,05","22.085.323,20","582.880,00","37,89","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AJG","ARTHUR J GALLAGHER","Financiële waarden","Aandelen","22.019.903,14","0,05","22.019.903,14","147.458,00","149,33","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DLTR","DOLLAR TREE INC","Luxe-consumentengoederen","Aandelen","21.988.695,50","0,05","21.988.695,50","171.385,00","128,30","Verenigde Staten","NASDAQ","USD"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","IT","Aandelen","21.946.923,39","0,05","21.946.923,39","160.419,00","136,81","Verenigde Staten","NASDAQ","USD"
"GLE","SOCIETE GENERALE SA","Financiële waarden","Aandelen","21.901.976,29","0,05","21.901.976,29","591.978,00","37,00","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"OKE","ONEOK INC","Energie","Aandelen","21.883.106,96","0,05","21.883.106,96","363.688,00","60,17","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6702","FUJITSU LTD","IT","Aandelen","21.772.459,27","0,05","21.772.459,27","149.259,00","145,87","Japan","Tokyo Stock Exchange","JPY"
"BA.","BAE SYSTEMS PLC","Industrie","Aandelen","21.712.995,40","0,05","21.712.995,40","2.684.339,00","8,09","Verenigd Koninkrijk","London Stock Exchange","GBP"
"ENGI","ENGIE SA","Nutsbedrijven","Aandelen","21.700.389,89","0,05","21.700.389,89","1.423.638,00","15,24","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"6273","SMC (JAPAN) CORP","Industrie","Aandelen","21.684.549,35","0,05","21.684.549,35","40.745,00","532,20","Japan","Tokyo Stock Exchange","JPY"
"TDG","TRANSDIGM GROUP INC","Industrie","Aandelen","21.672.462,84","0,05","21.672.462,84","36.493,00","593,88","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RWE","RWE AG","Nutsbedrijven","Aandelen","21.604.940,25","0,05","21.604.940,25","509.957,00","42,37","Duitsland","Xetra","EUR"
"GMG","GOODMAN GROUP UNITS","Vastgoed","Aandelen","21.485.719,55","0,05","21.485.719,55","1.383.101,00","15,53","Australië","Asx - All Markets","AUD"
"AWK","AMERICAN WATER WORKS INC","Nutsbedrijven","Aandelen","21.461.880,60","0,05","21.461.880,60","137.444,00","156,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ASSA B","ASSA ABLOY B","Industrie","Aandelen","21.456.593,68","0,05","21.456.593,68","819.278,00","26,19","Zweden","Nasdaq Omx Nordic","SEK"
"TWTR","TWITTER INC","Communicatie","Aandelen","21.453.747,84","0,05","21.453.747,84","633.976,00","33,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HEIA","HEINEKEN NV","Basis-consumentengoederen","Aandelen","21.285.269,10","0,05","21.285.269,10","193.431,00","110,04","Nederland","Euronext Amsterdam","EUR"
"CERN","CERNER CORP","Gezondheidszorg","Aandelen","21.272.441,58","0,05","21.272.441,58","232.791,00","91,38","Verenigde Staten","NASDAQ","USD"
"WKL","WOLTERS KLUWER NV","Industrie","Aandelen","21.267.986,10","0,05","21.267.986,10","214.773,00","99,03","Nederland","Euronext Amsterdam","EUR"
"WST","WEST PHARMACEUTICAL SERVICES INC","Gezondheidszorg","Aandelen","21.244.347,84","0,05","21.244.347,84","55.344,00","383,86","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HAL","HALLIBURTON","Energie","Aandelen","21.086.270,99","0,05","21.086.270,99","683.953,00","30,83","Verenigde Staten","New York Stock Exchange Inc.","USD"
"8591","ORIX CORP","Financiële waarden","Aandelen","20.967.509,29","0,05","20.967.509,29","1.052.890,00","19,91","Japan","Tokyo Stock Exchange","JPY"
"ED","CONSOLIDATED EDISON INC","Nutsbedrijven","Aandelen","20.964.845,96","0,05","20.964.845,96","253.321,00","82,76","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NA","NATIONAL BANK OF CANADA","Financiële waarden","Aandelen","20.941.223,42","0,05","20.941.223,42","268.419,00","78,02","Canada","Toronto Stock Exchange","CAD"
"EQNR","EQUINOR","Energie","Aandelen","20.912.427,10","0,05","20.912.427,10","739.396,00","28,28","Noorwegen","Oslo Bors Asa","NOK"
"TTD","TRADE DESK INC CLASS A","IT","Aandelen","20.862.262,74","0,05","20.862.262,74","346.722,00","60,17","Verenigde Staten","NASDAQ","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aandelen","20.750.136,84","0,05","20.750.136,84","72.558,00","285,98","Verenigde Staten","NASDAQ","USD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Vastgoed","Aandelen","20.633.717,86","0,05","20.633.717,86","111.209,00","185,54","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HEXA B","HEXAGON CLASS B","IT","Aandelen","20.608.574,93","0,05","20.608.574,93","1.599.222,00","12,89","Zweden","Nasdaq Omx Nordic","SEK"
"DOV","DOVER CORP","Industrie","Aandelen","20.602.359,07","0,05","20.602.359,07","122.117,00","168,71","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EFX","EQUIFAX INC","Industrie","Aandelen","20.584.453,48","0,05","20.584.453,48","91.519,00","224,92","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LNG","CHENIERE ENERGY INC","Energie","Aandelen","20.560.813,20","0,05","20.560.813,20","186.645,00","110,16","Verenigde Staten","Nyse Mkt Llc","USD"
"LEN","LENNAR A CORP","Luxe-consumentengoederen","Aandelen","20.546.786,16","0,05","20.546.786,16","223.992,00","91,73","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","IT","Aandelen","20.537.654,72","0,05","20.537.654,72","174.166,00","117,92","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DBK","DEUTSCHE BANK AG","Financiële waarden","Aandelen","20.471.644,40","0,05","20.471.644,40","1.540.425,00","13,29","Duitsland","Xetra","EUR"
"SYF","SYNCHRONY FINANCIAL","Financiële waarden","Aandelen","20.458.741,50","0,05","20.458.741,50","460.575,00","44,42","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MTCH","MATCH GROUP INC","Communicatie","Aandelen","20.339.476,50","0,05","20.339.476,50","190.981,00","106,50","Verenigde Staten","NASDAQ","USD"
"CHD","CHURCH AND DWIGHT INC","Basis-consumentengoederen","Aandelen","20.304.918,62","0,05","20.304.918,62","205.807,00","98,66","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ANSS","ANSYS INC","IT","Aandelen","20.244.194,08","0,05","20.244.194,08","65.384,00","309,62","Verenigde Staten","NASDAQ","USD"
"FRC","FIRST REPUBLIC BANK","Financiële waarden","Aandelen","20.213.004,70","0,05","20.213.004,70","123.235,00","164,02","Verenigde Staten","New York Stock Exchange Inc.","USD"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aandelen","20.091.440,17","0,04","20.091.440,17","766.454,00","26,21","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"LH","LABORATORY CORPORATION OF AMERICA","Gezondheidszorg","Aandelen","20.054.111,64","0,04","20.054.111,64","75.468,00","265,73","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CSGP","COSTAR GROUP INC","Industrie","Aandelen","20.039.293,92","0,04","20.039.293,92","304.456,00","65,82","Verenigde Staten","NASDAQ","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","IT","Aandelen","20.011.950,24","0,04","20.011.950,24","42.288,00","473,23","Verenigde Staten","NASDAQ","USD"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materialen","Aandelen","19.994.118,30","0,04","19.994.118,30","208.598,00","95,85","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Basis-consumentengoederen","Aandelen","19.963.078,00","0,04","19.963.078,00","203.290,00","98,20","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CPRT","COPART INC","Industrie","Aandelen","19.919.134,30","0,04","19.919.134,30","163.930,00","121,51","Verenigde Staten","NASDAQ","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Financiële waarden","Aandelen","19.725.139,44","0,04","19.725.139,44","282.312,00","69,87","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DDOG","DATADOG INC CLASS A","IT","Aandelen","19.676.151,00","0,04","19.676.151,00","153.540,00","128,15","Verenigde Staten","NASDAQ","USD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrie","Aandelen","19.650.129,38","0,04","19.650.129,38","2.299.224,00","8,55","Australië","Asx - All Markets","AUD"
"SWK","STANLEY BLACK & DECKER INC","Industrie","Aandelen","19.571.410,02","0,04","19.571.410,02","114.006,00","171,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"EXR","EXTRA SPACE STORAGE REIT INC","Vastgoed","Aandelen","19.494.242,12","0,04","19.494.242,12","102.418,00","190,34","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CDW","CDW CORP","IT","Aandelen","19.470.188,74","0,04","19.470.188,74","107.138,00","181,73","Verenigde Staten","NASDAQ","USD"
"UOB","UNITED OVERSEAS BANK LTD","Financiële waarden","Aandelen","19.443.437,53","0,04","19.443.437,53","873.051,00","22,27","Singapore","Singapore Exchange","SGD"
"HES","HESS CORP","Energie","Aandelen","19.291.961,60","0,04","19.291.961,60","215.120,00","89,68","Verenigde Staten","New York Stock Exchange Inc.","USD"
