Fund Holdings as of,"27/jan/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"COST","COSTCO WHOLESALE CORP","Basis-consumentengoederen","Aandelen","165.142.952,52","0,37","165.142.952,52","342.251,00","482,52","Verenigde Staten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communicatie","Aandelen","164.877.051,96","0,37","164.877.051,96","3.220.884,00","51,19","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aandelen","163.799.436,24","0,37","163.799.436,24","491.359,00","333,36","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE.COM INC","IT","Aandelen","161.823.233,88","0,36","161.823.233,88","760.662,00","212,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gezondheidszorg","Aandelen","159.748.963,62","0,36","159.748.963,62","1.982.489,00","80,58","Verenigde Staten","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Liquide middelen en/of derivaten","Liquiditeiten","158.535.753,68","0,35","158.535.753,68","158.535.754,00","100,00","Verenigde Staten","-","USD"
"7203","TOYOTA MOTOR CORP","Luxe-consumentengoederen","Aandelen","154.167.031,05","0,34","154.167.031,05","8.228.300,00","18,74","Japan","Tokyo Stock Exchange","JPY"
"LLY","ELI LILLY","Gezondheidszorg","Aandelen","150.536.876,16","0,34","150.536.876,16","635.928,00","236,72","Verenigde Staten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aandelen","149.828.260,70","0,33","149.828.260,70","3.118.174,00","48,05","Verenigde Staten","NASDAQ","USD"
"NOVN","NOVARTIS AG","Gezondheidszorg","Aandelen","149.225.942,90","0,33","149.225.942,90","1.744.653,00","85,53","Zwitserland","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Gezondheidszorg","Aandelen","145.833.303,52","0,33","145.833.303,52","1.232.411,00","118,33","Verenigd Koninkrijk","London Stock Exchange","GBP"
"MCD","MCDONALDS CORP","Luxe-consumentengoederen","Aandelen","145.591.999,32","0,33","145.591.999,32","585.318,00","248,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Luxe-consumentengoederen","Aandelen","144.028.317,44","0,32","144.028.317,44","995.771,00","144,64","Verenigde Staten","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","IT","Aandelen","143.444.464,80","0,32","143.444.464,80","889.854,00","161,20","Verenigde Staten","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS INC","IT","Aandelen","137.706.378,83","0,31","137.706.378,83","870.953,00","158,11","Verenigde Staten","NASDAQ","USD"
"DHR","DANAHER CORP","Gezondheidszorg","Aandelen","135.868.341,84","0,30","135.868.341,84","503.272,00","269,97","Verenigde Staten","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Communicatie","Aandelen","134.676.600,84","0,30","134.676.600,84","5.583.607,00","24,12","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communicatie","Aandelen","134.138.882,70","0,30","134.138.882,70","346.881,00","386,70","Verenigde Staten","NASDAQ","USD"
"NOVO B","NOVO NORDISK CLASS B","Gezondheidszorg","Aandelen","126.255.242,82","0,28","126.255.242,82","1.307.389,00","96,57","Denemarken","Omx Nordic Exchange Copenhagen A/S","DKK"
"RY","ROYAL BANK OF CANADA","Financiële waarden","Aandelen","126.060.669,79","0,28","126.060.669,79","1.127.078,00","111,85","Canada","Toronto Stock Exchange","CAD"
"LIN","LINDE PLC","Materialen","Aandelen","124.716.846,80","0,28","124.716.846,80","400.568,00","311,35","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aandelen","124.170.514,77","0,28","124.170.514,77","710.317,00","174,81","Verenigde Staten","NASDAQ","USD"
"LOW","LOWES COMPANIES INC","Luxe-consumentengoederen","Aandelen","124.152.601,74","0,28","124.152.601,74","549.518,00","225,93","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Basis-consumentengoederen","Aandelen","124.107.778,00","0,28","124.107.778,00","1.213.768,00","102,25","Verenigde Staten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aandelen","123.783.819,33","0,28","123.783.819,33","506.087,00","244,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HSBA","HSBC HOLDINGS PLC","Financiële waarden","Aandelen","115.809.892,17","0,26","115.809.892,17","16.064.819,00","7,21","Verenigd Koninkrijk","London Stock Exchange","GBP"
"BMY","BRISTOL MYERS SQUIBB","Gezondheidszorg","Aandelen","113.725.655,74","0,25","113.725.655,74","1.780.859,00","63,86","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financiële waarden","Aandelen","113.337.678,23","0,25","113.337.678,23","1.430.369,00","79,24","Canada","Toronto Stock Exchange","CAD"
"NEE","NEXTERA ENERGY INC","Nutsbedrijven","Aandelen","112.035.055,98","0,25","112.035.055,98","1.545.098,00","72,51","Verenigde Staten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aandelen","110.905.415,72","0,25","110.905.415,72","214.426,00","517,22","Verenigde Staten","NASDAQ","USD"
"TTE","TOTALENERGIES","Energie","Aandelen","110.770.517,48","0,25","110.770.517,48","1.920.268,00","57,69","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aandelen","109.818.072,63","0,25","109.818.072,63","563.661,00","194,83","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Gezondheidszorg","Aandelen","108.846.851,96","0,24","108.846.851,96","1.054.922,00","103,18","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aandelen","108.312.073,90","0,24","108.312.073,90","539.806,00","200,65","Verenigde Staten","NASDAQ","USD"
"MS","MORGAN STANLEY","Financiële waarden","Aandelen","108.232.320,70","0,24","108.232.320,70","1.070.018,00","101,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Gezondheidszorg","Aandelen","108.155.310,15","0,24","108.155.310,15","1.012.785,00","106,79","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Basis-consumentengoederen","Aandelen","106.642.731,16","0,24","106.642.731,16","2.069.699,00","51,53","Verenigd Koninkrijk","London Stock Exchange","GBP"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aandelen","105.553.869,12","0,24","105.553.869,12","1.182.279,00","89,28","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","IT","Aandelen","104.567.646,00","0,23","104.567.646,00","1.310.700,00","79,78","Verenigde Staten","New York Stock Exchange Inc.","USD"
"1299","AIA GROUP LTD","Financiële waarden","Aandelen","104.050.853,63","0,23","104.050.853,63","9.620.474,00","10,82","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SCHW","CHARLES SCHWAB CORP","Financiële waarden","Aandelen","101.425.853,10","0,23","101.425.853,10","1.130.723,00","89,70","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6758","SONY GROUP CORP","Luxe-consumentengoederen","Aandelen","100.260.682,23","0,22","100.260.682,23","983.398,00","101,95","Japan","Tokyo Stock Exchange","JPY"
"C","CITIGROUP INC","Financiële waarden","Aandelen","100.205.764,10","0,22","100.205.764,10","1.562.054,00","64,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aandelen","99.745.337,07","0,22","99.745.337,07","807.161,00","123,58","Duitsland","Xetra","EUR"
"AMGN","AMGEN INC","Gezondheidszorg","Aandelen","98.752.864,00","0,22","98.752.864,00","440.861,00","224,00","Verenigde Staten","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aandelen","97.484.261,40","0,22","97.484.261,40","950.139,00","102,60","Verenigde Staten","NASDAQ","USD"
"COP","CONOCOPHILLIPS","Energie","Aandelen","93.899.662,76","0,21","93.899.662,76","1.047.286,00","89,66","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financiële waarden","Aandelen","93.227.487,40","0,21","93.227.487,40","118.315,00","787,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SAN","SANOFI SA","Gezondheidszorg","Aandelen","93.094.649,69","0,21","93.094.649,69","879.971,00","105,79","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"DGE","DIAGEO PLC","Basis-consumentengoederen","Aandelen","92.549.510,50","0,21","92.549.510,50","1.850.035,00","50,03","Verenigd Koninkrijk","London Stock Exchange","GBP"
